CN,Realization,diameter,H,albedo,taxonomy,density,porosity,strength,base_density,mass,a,b,c
NA,471248,146.49342849504043,22.036188985324703,0.12616476447077002,S,2206.849614245239,0.3663705580968972,408097.5209179872,3482.871009934415,3632668693.8835053,114.3077146613565,120.6144789781341,228.02341338426805
NA,699616,145.95701780839028,21.37423576147543,0.23383294248341116,S,1785.754356443884,0.45862561080294617,131269.42168132946,3298.557139159183,2907336391.5299745,113.80466694340898,116.25375882631204,235.02164835063513
NA,523734,151.866324478832,21.685104489889056,0.1622128301927354,S,1885.443686249832,0.398629519698965,328411.9359578089,3135.2448249638283,3457774237.974373,126.9173988988622,110.49591095335248,249.75665935574455
NA,479419,150.63580491734444,21.864754011214313,0.13973073147065004,S,2081.268711356273,0.3815372210641269,354348.19647379464,3365.2287287802565,3724872527.700655,125.27052808276834,111.91431581360936,243.80919755595215
NA,417007,153.92103885796138,22.18025092728462,0.10008145698902664,S,2076.6504409590807,0.39321421503587145,718317.0181914378,3422.378197409233,3965116743.307645,131.01437168133737,113.60923447114594,244.99734939205928
NA,545126,145.3353530409859,21.756942585503214,0.16577933295168912,S,2828.9875595406993,0.13745733392194082,8001224.520851556,3279.82333025214,4547193859.17602,122.92508795871044,109.08466616204215,228.93361979163544
NA,531201,147.40986918986812,21.780203803670748,0.1577303688131971,S,2894.2437933800543,0.16753268355151144,9427152.056312649,3476.705614975509,4854152490.782325,109.73087394935123,122.882640398172,237.55288531781784
NA,822125,150.33320328277603,21.12972171980837,0.27609049223880283,S,1566.969714279098,0.5343404850438359,279998.2691063063,3365.0546460467112,2787558301.4998517,121.34405032945276,117.55436974483398,238.18119499142284
NA,693384,153.2793971663015,21.27381423651963,0.2325716102950042,S,1686.2190640835242,0.4586754441365576,232772.19978483135,3114.9872028138684,3179537624.1583643,119.92588653083808,125.69134385720476,238.90929343379136
NA,828036,152.6881845214238,21.064436505942307,0.28422645400643815,S,1634.8018597964906,0.513933062916417,159431.84372390696,3363.3266018984004,3047053217.7607746,128.93162029369006,109.90425517468992,251.21313660739415
NA,542360,150.24879060613648,21.699636689638467,0.1635209178457735,S,2319.0416682516097,0.31412732060016,1202105.5292326456,3381.1547505884673,4118510041.2678394,123.10343417670308,116.60359090202483,236.2930027567921
NA,776754,148.1048906401989,21.23250070797935,0.2587681846464519,S,3046.2014809638576,0.10224863687759768,4598090.0592607455,3393.1460380846324,5181618643.34674,121.84884538869396,114.84029560578426,232.1627179237
NA,787732,149.32861812214247,21.19113427740236,0.26442965511067307,S,2962.4359622898414,0.15959161945470451,9993738.41295126,3524.9957411986743,5165076188.075612,116.38972081456642,117.95166438497812,242.5551156502019
NA,481242,148.19946521377793,21.99009120143512,0.1286234660266433,S,1965.6198302361329,0.43194669165835486,337794.3848081572,3460.273536606088,3349947929.918063,118.7361899323821,116.7344558916529,234.8322488396574
NA,648021,152.71741658063075,21.457038953873244,0.1979052169751609,S,2269.8497501756137,0.2848948437996451,1051564.6949926366,3174.14820812683,4233128375.0373793,126.34582920953108,110.64989524618386,254.77322771463892
NA,545597,146.25241593003804,21.890237061223125,0.1447934911545366,S,1947.4978718982472,0.3874085286272495,649589.9037323605,3179.1135902269707,3189956499.3930907,121.77143665812272,113.94698369234388,225.4555254252501
NA,419067,150.65544064686878,22.0579435566585,0.11692379400436766,S,1964.3831422556957,0.3919047411690859,782318.9699230463,3230.387202873931,3517055980.210836,120.75038222610524,124.69260182311932,227.10424863214288
NA,871424,151.26350805792737,21.006662317181217,0.3054335209413432,S,1748.7214426209605,0.3631451534642698,786807.8416481758,2745.8712956859786,3168996519.9226694,121.09760579986992,123.6340715410409,231.168564420041
NA,584811,148.0656868604566,21.64454250640256,0.17714304597440642,S,2159.5945750957303,0.3225910509480889,1680610.1661685451,3188.021915149274,3670575208.4672117,113.36761415791403,122.77687649110057,233.2156494062242
NA,419820,146.24915187631524,22.12784627672735,0.11633884256586896,S,1798.9737641794893,0.42902115216561665,594809.4263074335,3150.6837267311435,2946480156.986358,127.13397427656956,110.06432311789315,223.54856072270053
NA,528810,150.60378716060976,21.76363821169369,0.15343445364569777,S,2374.099150144251,0.2631366547779265,1171648.8869101026,3221.8988304116997,4246246030.137808,119.53982728844268,120.52972169968194,237.08326590753
NA,587306,153.11460055055105,21.50483982665158,0.18839996589208025,S,1783.0294926111303,0.4648528508621774,215108.8783320761,3331.8489979508913,3351251074.0761437,121.64992260038552,120.4383241107754,245.0040573175772
NA,367639,150.54861132752282,22.298044889262943,0.09385955663034692,S,2777.2194375028575,0.19744303811702776,5538577.530822782,3460.463953844348,4961798005.491691,118.1932614854434,121.3636657573702,237.8750316147074
NA,670027,151.00304411030842,21.42916816129907,0.20768794659192208,S,2468.7934118318112,0.3011731921456069,1779901.816664304,3532.7686117419335,4450824596.326975,117.22068238181473,121.43010980531044,241.89476763618697
NA,656133,148.08490140504895,21.54633205304475,0.19386329038217665,S,2760.7452194246534,0.24129102652566736,1142947.4692901678,3638.740697612232,4694153561.239618,117.72909503950378,118.61403756770557,232.5479131364649
NA,575564,151.17889894477145,21.61524624449717,0.17456979748506565,S,2485.8676088657617,0.2993176983358063,1105331.0388297888,3547.7813596284172,4497282322.191292,118.34836075375205,119.50500336665311,244.30097410495995
NA,592142,153.9022106315083,21.55463185542823,0.1781178743585013,S,2618.8082919808107,0.24723294579989188,2092442.8019140544,3478.909281920636,4998467857.735457,123.9428400299811,114.33584383659051,257.2353968220836
NA,473213,149.67467275154587,21.94819009864891,0.13106214995093177,S,2843.777585982285,0.06157685540112023,9933517.320670776,3030.378782055542,4992742880.203749,126.90616764367076,107.5331631681512,245.70828544014032
NA,860644,143.53697721803198,21.08592761628377,0.31531985866210893,S,2080.3531197706466,0.41430018516505224,873797.2124794216,3551.910154448141,3221269562.71007,109.85468452840487,112.79236723510124,238.66739639013264
NA,468510,153.94370062052755,21.968576050175148,0.12158939493508078,S,2935.781507690928,0.185973189771339,6360676.287135648,3606.492403937241,5608001481.108883,120.8925286046527,122.96633863134248,245.41441214178303
NA,668045,148.39774904674886,21.484427326856725,0.2043734161097789,S,2602.7495250145143,0.1794374721566632,9279889.596856233,3171.908826808425,4453617743.435454,110.07290272039378,119.01956614262302,249.44979891011212
NA,829283,150.31437912502182,21.107911717164047,0.28176316716917793,S,2169.8082339428943,0.3402563554741166,375017.4854903545,3288.8656858562085,3858527121.3613887,124.1066263871492,109.48204640662706,249.95608005409105
NA,648693,149.9810803464307,21.429896963088503,0.21038667087368668,S,2460.671307866607,0.2655624407686318,2100862.616988893,3350.4159433810046,4346719949.615116,120.24569512011657,116.79976709831767,240.21378076703925
NA,644506,150.04988867442353,21.481075046265236,0.20051579490811564,S,2054.678932921029,0.38183589868245155,600400.957176257,3323.840592719163,3634541423.8091946,117.9289436014417,122.81608873151625,233.2552148480033
NA,663561,150.39597338385497,21.429158722799716,0.20936980812917463,S,2279.6209033078944,0.3355516829005308,499548.1651820933,3430.847583840942,4060409914.3827934,118.83832368775806,121.6011655161739,235.4042893353804
NA,644931,149.00583562398648,21.43525175983573,0.21210099373601843,S,2020.0617255392444,0.3886614642426667,807788.6550003482,3304.3258479309966,3499234877.3340096,112.17138446757912,119.87477398213112,246.0367323793251
NA,544915,150.7456358867468,21.78700281341268,0.14988540313362608,S,2617.2798392922173,0.16804119770902795,4404421.292394842,3145.9248127250908,4694431717.314905,112.05948799782652,120.12234244486896,254.48478253198857
NA,481616,155.6586233841825,21.9418266237313,0.12189136535187715,S,1511.0344732735905,0.5435131907196172,102355.99160873612,3310.1383053228265,2983956933.7012563,130.187403644822,116.0721516674121,249.5873413582291
